fh,temp,hora
2017-04-17,25.18,12:00:00
2017-04-17,25.56,13:00:00
2017-04-17,25.70,14:00:00
2017-04-17,25.57,15:00:00
2017-04-17,25.20,16:00:00
2017-04-17,24.62,17:00:00
2017-04-17,23.88,18:00:00
2017-04-17,23.06,19:00:00
2017-04-17,22.20,20:00:00
2017-04-17,21.36,21:00:00
2017-04-17,20.58,22:00:00
2017-04-17,19.89,23:00:00
2017-04-18,19.27,00:00:00
2017-04-18,18.90,01:00:00
2017-04-18,18.74,02:00:00
2017-04-18,18.82,03:00:00
2017-04-18,19.16,04:00:00
2017-04-18,19.72,05:00:00
2017-04-18,20.46,06:00:00
2017-04-18,21.32,07:00:00
2017-04-18,22.22,08:00:00
2017-04-18,23.09,09:00:00
2017-04-18,23.88,10:00:00
2017-04-18,24.54,11:00:00
2017-04-18,25.05,12:00:00
2017-04-18,25.39,13:00:00
2017-04-18,25.53,14:00:00
2017-04-18,25.45,15:00:00
2017-04-18,25.15,16:00:00
2017-04-18,24.63,17:00:00
2017-04-18,23.91,18:00:00
2017-04-18,23.06,19:00:00
2017-04-18,22.14,20:00:00
2017-04-18,21.23,21:00:00
2017-04-18,20.40,22:00:00
2017-04-18,19.72,23:00:00
2017-04-19,19.14,00:00:00
2017-04-19,18.84,01:00:00
2017-04-19,18.74,02:00:00
2017-04-19,18.84,03:00:00
2017-04-19,19.15,04:00:00
2017-04-19,19.65,05:00:00
2017-04-19,20.32,06:00:00
2017-04-19,21.14,07:00:00
2017-04-19,22.04,08:00:00
2017-04-19,22.96,09:00:00
2017-04-19,23.82,10:00:00
2017-04-19,24.54,11:00:00
2017-04-19,25.38,13:00:00
2017-04-19,25.07,12:00:00
2017-04-19,25.45,14:00:00
2017-04-19,25.31,15:00:00
2017-04-19,24.97,16:00:00
2017-04-19,24.45,17:00:00
2017-04-19,23.78,18:00:00
2017-04-19,23.00,19:00:00
2017-04-19,22.14,20:00:00
2017-04-19,21.25,21:00:00
2017-04-19,20.39,22:00:00
2017-04-19,19.65,23:00:00
2017-04-20,18.99,00:00:00
2017-04-20,18.65,01:00:00
2017-04-20,18.56,02:00:00
2017-04-20,18.71,03:00:00
2017-04-20,19.09,04:00:00
2017-04-20,19.65,05:00:00
2017-04-20,20.34,06:00:00
2017-04-20,21.12,07:00:00
2017-04-20,21.96,08:00:00
2017-04-20,22.81,09:00:00
2017-04-20,23.63,10:00:00
2017-04-20,24.36,11:00:00
2017-04-20,24.94,12:00:00
2017-04-20,25.32,13:00:00
2017-04-20,25.45,14:00:00
2017-04-20,25.32,15:00:00
2017-04-20,24.95,16:00:00
2017-04-20,24.37,17:00:00
2017-04-20,23.63,18:00:00
2017-04-20,22.81,19:00:00
2017-04-20,21.96,20:00:00
2017-04-20,21.12,21:00:00
2017-04-20,20.33,22:00:00
2017-04-20,19.65,23:00:00
2017-04-21,19.00,00:00:00
2017-04-21,18.62,01:00:00
2017-04-21,18.47,02:00:00
2017-04-21,18.56,03:00:00
2017-04-21,18.89,04:00:00
2017-04-21,19.46,05:00:00
2017-04-21,20.21,06:00:00
2017-04-21,21.06,07:00:00
2017-04-21,21.96,08:00:00
2017-04-21,22.82,09:00:00
2017-04-21,23.61,10:00:00
2017-04-21,24.27,11:00:00
2017-04-21,24.78,12:00:00
2017-04-21,25.12,13:00:00
2017-04-21,25.27,14:00:00
2017-04-21,25.19,15:00:00
2017-04-21,24.89,16:00:00
2017-04-21,24.36,17:00:00
2017-04-21,23.64,18:00:00
2017-04-21,22.78,19:00:00
2017-04-21,21.86,20:00:00
2017-04-21,20.96,21:00:00
2017-04-21,20.14,22:00:00
2017-04-21,19.46,23:00:00
