fh,TempOut,hora
2017-04-17,23.98,12:00:00
2017-04-17,23.97,12:30:00
2017-04-17,24.30,13:00:00
2017-04-17,24.27,13:30:00
2017-04-17,24.37,14:00:00
2017-04-17,24.35,14:30:00
2017-04-17,24.22,15:00:00
2017-04-17,24.22,15:30:00
2017-04-17,23.90,16:00:00
2017-04-17,23.92,16:30:00
2017-04-17,23.40,17:00:00
2017-04-17,23.43,17:30:00
2017-04-17,22.73,18:00:00
2017-04-17,22.74,18:30:00
2017-04-17,21.90,19:00:00
2017-04-17,21.88,19:30:00
2017-04-17,20.98,20:00:00
2017-04-17,20.96,20:30:00
2017-04-17,20.06,21:00:00
2017-04-17,20.06,21:30:00
2017-04-17,19.24,22:00:00
2017-04-17,19.26,22:30:00
2017-04-17,18.58,23:00:00
2017-04-17,18.61,23:30:00
2017-04-18,18.01,00:00:00
2017-04-18,18.02,00:30:00
2017-04-18,17.67,01:00:00
2017-04-18,17.66,01:30:00
2017-04-18,17.52,02:00:00
2017-04-18,17.49,02:30:00
2017-04-18,17.59,03:00:00
2017-04-18,17.58,03:30:00
2017-04-18,17.92,04:00:00
2017-04-18,17.93,04:30:00
2017-04-18,18.49,05:00:00
2017-04-18,18.52,05:30:00
2017-04-18,19.24,06:00:00
2017-04-18,19.26,06:30:00
2017-04-18,20.08,07:00:00
2017-04-18,20.07,07:30:00
2017-04-18,20.93,08:00:00
2017-04-18,20.91,08:30:00
2017-04-18,21.76,09:00:00
2017-04-18,21.75,09:30:00
2017-04-18,22.56,10:00:00
2017-04-18,22.57,10:30:00
2017-04-18,23.29,11:00:00
2017-04-18,23.31,11:30:00
2017-04-18,23.88,12:00:00
2017-04-18,23.90,12:30:00
2017-04-18,24.25,13:00:00
2017-04-18,24.24,13:30:00
2017-04-18,24.34,14:00:00
2017-04-18,24.32,14:30:00
2017-04-18,24.18,15:00:00
2017-04-18,24.16,15:30:00
2017-04-18,23.81,16:00:00
2017-04-18,23.81,16:30:00
2017-04-18,23.28,17:00:00
2017-04-18,23.30,17:30:00
2017-04-18,22.62,18:00:00
2017-04-18,22.64,18:30:00
2017-04-18,21.84,19:00:00
2017-04-18,21.84,19:30:00
2017-04-18,20.95,20:00:00
2017-04-18,20.93,20:30:00
2017-04-18,20.03,21:00:00
2017-04-18,20.01,21:30:00
2017-04-18,19.17,22:00:00
2017-04-18,19.16,22:30:00
2017-04-18,18.46,23:00:00
2017-04-18,18.48,23:30:00
2017-04-19,17.88,00:00:00
2017-04-19,17.90,00:30:00
2017-04-19,17.58,01:00:00
2017-04-19,17.59,01:30:00
2017-04-19,17.48,02:00:00
2017-04-19,17.46,02:30:00
2017-04-19,17.56,03:00:00
2017-04-19,17.53,03:30:00
2017-04-19,17.85,04:00:00
2017-04-19,17.84,04:30:00
2017-04-19,18.38,05:00:00
2017-04-19,18.38,05:30:00
2017-04-19,19.11,06:00:00
2017-04-19,19.13,06:30:00
2017-04-19,19.98,07:00:00
2017-04-19,19.99,07:30:00
2017-04-19,20.88,08:00:00
2017-04-19,20.87,08:30:00
2017-04-19,21.73,09:00:00
2017-04-19,21.71,09:30:00
2017-04-19,22.51,10:00:00
2017-04-19,22.49,10:30:00
2017-04-19,23.18,11:00:00
2017-04-19,23.19,11:30:00
2017-04-19,23.74,12:00:00
2017-04-19,23.76,12:30:00
2017-04-19,24.13,13:00:00
2017-04-19,24.15,13:30:00
2017-04-19,24.28,14:00:00
2017-04-19,24.28,14:30:00
2017-04-19,24.15,15:00:00
2017-04-19,24.13,15:30:00
2017-04-19,23.76,16:00:00
2017-04-19,23.74,16:30:00
2017-04-19,23.19,17:00:00
2017-04-19,23.18,17:30:00
2017-04-19,22.49,18:00:00
2017-04-19,22.51,18:30:00
2017-04-19,21.71,19:00:00
2017-04-19,21.73,19:30:00
2017-04-19,20.87,20:00:00
2017-04-19,20.88,20:30:00
2017-04-19,19.99,21:00:00
2017-04-19,19.98,21:30:00
2017-04-19,19.13,22:00:00
2017-04-19,19.11,22:30:00
2017-04-19,18.39,23:00:00
2017-04-19,18.38,23:30:00
2017-04-20,17.75,00:00:00
2017-04-20,17.76,00:30:00
2017-04-20,17.44,01:00:00
2017-04-20,17.47,01:30:00
2017-04-20,17.37,02:00:00
2017-04-20,17.39,02:30:00
2017-04-20,17.50,03:00:00
2017-04-20,17.49,03:30:00
2017-04-20,17.81,04:00:00
2017-04-20,17.79,04:30:00
2017-04-20,18.31,05:00:00
2017-04-20,18.29,05:30:00
2017-04-20,18.99,06:00:00
2017-04-20,19.00,06:30:00
2017-04-20,19.83,07:00:00
2017-04-20,19.86,07:30:00
2017-04-20,20.76,08:00:00
2017-04-20,20.78,08:30:00
2017-04-20,21.67,09:00:00
2017-04-20,21.67,09:30:00
2017-04-20,22.47,10:00:00
2017-04-20,22.45,10:30:00
2017-04-20,23.13,11:00:00
2017-04-20,23.11,11:30:00
2017-04-20,23.64,12:00:00
2017-04-20,23.64,12:30:00
2017-04-20,23.99,13:00:00
2017-04-20,24.01,13:30:00
2017-04-20,24.15,14:00:00
2017-04-20,24.17,14:30:00
2017-04-20,24.07,15:00:00
2017-04-20,24.07,15:30:00
2017-04-20,23.73,16:00:00
2017-04-20,23.71,16:30:00
2017-04-20,23.14,17:00:00
2017-04-20,23.12,17:30:00
2017-04-20,22.40,18:00:00
2017-04-20,22.39,18:30:00
2017-04-20,21.57,19:00:00
2017-04-20,21.59,19:30:00
2017-04-20,20.73,20:00:00
2017-04-20,20.76,20:30:00
2017-04-20,19.90,21:00:00
2017-04-20,19.91,21:30:00
2017-04-20,19.09,22:00:00
2017-04-20,19.07,22:30:00
2017-04-20,18.35,23:00:00
2017-04-20,18.32,23:30:00
2017-04-21,17.67,00:00:00
2017-04-21,17.65,00:30:00
2017-04-21,17.31,01:00:00
2017-04-21,17.32,01:30:00
2017-04-21,17.23,02:00:00
2017-04-21,17.25,02:30:00
2017-04-21,17.39,03:00:00
2017-04-21,17.41,03:30:00
2017-04-21,17.75,04:00:00
2017-04-21,17.74,04:30:00
2017-04-21,18.27,05:00:00
2017-04-21,18.24,05:30:00
2017-04-21,18.92,06:00:00
2017-04-21,18.90,06:30:00
2017-04-21,19.72,07:00:00
2017-04-21,19.72,07:30:00
2017-04-21,20.61,08:00:00
2017-04-21,20.64,08:30:00
2017-04-21,21.54,09:00:00
2017-04-21,21.56,09:30:00
2017-04-21,22.39,10:00:00
2017-04-21,22.39,10:30:00
2017-04-21,23.09,11:00:00
2017-04-21,23.07,11:30:00
2017-04-21,23.58,12:00:00
2017-04-21,23.56,12:30:00
2017-04-21,23.88,13:00:00
2017-04-21,23.88,13:30:00
2017-04-21,24.00,14:00:00
2017-04-21,24.02,14:30:00
2017-04-21,23.93,15:00:00
2017-04-21,23.96,15:30:00
2017-04-21,23.63,16:00:00
2017-04-21,23.64,16:30:00
2017-04-21,23.09,17:00:00
2017-04-21,23.08,17:30:00
2017-04-21,22.35,18:00:00
2017-04-21,22.33,18:30:00
2017-04-21,21.49,19:00:00
2017-04-21,21.48,19:30:00
2017-04-21,20.60,20:00:00
2017-04-21,20.61,20:30:00
2017-04-21,19.75,21:00:00
2017-04-21,19.78,21:30:00
2017-04-21,18.98,22:00:00
2017-04-21,18.99,22:30:00
2017-04-21,18.29,23:00:00
2017-04-21,18.28,23:30:00
2017-04-22,17.62,00:00:00
2017-04-22,17.60,00:30:00
2017-04-22,17.24,01:00:00
2017-04-22,17.22,01:30:00
2017-04-22,17.10,02:00:00
2017-04-22,17.11,02:30:00
2017-04-22,17.24,03:00:00
2017-04-22,17.26,03:30:00
2017-04-22,17.63,04:00:00
2017-04-22,17.65,04:30:00
2017-04-22,18.19,05:00:00
2017-04-22,18.19,05:30:00
2017-04-22,18.88,06:00:00
2017-04-22,18.86,06:30:00
2017-04-22,19.65,07:00:00
2017-04-22,19.63,07:30:00
2017-04-22,20.50,08:00:00
2017-04-22,20.50,08:30:00
2017-04-22,21.39,09:00:00
2017-04-22,21.41,09:30:00
2017-04-22,22.26,10:00:00
2017-04-22,22.28,10:30:00
2017-04-22,23.00,11:00:00
2017-04-22,23.00,11:30:00
2017-04-22,23.53,12:00:00
2017-04-22,23.52,12:30:00
2017-04-22,23.83,13:00:00
2017-04-22,23.81,13:30:00
2017-04-22,23.91,14:00:00
2017-04-22,23.90,14:30:00
2017-04-22,23.79,15:00:00
2017-04-22,23.81,15:30:00
2017-04-22,23.49,16:00:00
2017-04-22,23.51,16:30:00
2017-04-22,22.99,17:00:00
2017-04-22,23.00,17:30:00
2017-04-22,22.30,18:00:00
2017-04-22,22.28,18:30:00
2017-04-22,21.44,19:00:00
2017-04-22,21.42,19:30:00
2017-04-22,20.51,20:00:00
2017-04-22,20.50,20:30:00
2017-04-22,19.62,21:00:00
2017-04-22,19.63,21:30:00
2017-04-22,18.83,22:00:00
2017-04-22,18.86,22:30:00
2017-04-22,18.17,23:00:00
2017-04-22,18.19,23:30:00
2017-04-23,17.56,00:00:00
2017-04-23,17.55,00:30:00
2017-04-23,17.19,01:00:00
2017-04-23,17.17,01:30:00
2017-04-23,17.03,02:00:00
2017-04-23,17.01,02:30:00
2017-04-23,17.12,03:00:00
2017-04-23,17.12,03:30:00
2017-04-23,17.48,04:00:00
2017-04-23,17.50,04:30:00
2017-04-23,18.06,05:00:00
2017-04-23,18.08,05:30:00
2017-04-23,18.80,06:00:00
2017-04-23,18.80,06:30:00
2017-04-23,19.61,07:00:00
2017-04-23,19.59,07:30:00
2017-04-23,20.44,08:00:00
2017-04-23,20.42,08:30:00
2017-04-23,21.28,09:00:00
2017-04-23,21.28,09:30:00
2017-04-23,22.11,10:00:00
2017-04-23,22.13,10:30:00
2017-04-23,22.86,11:00:00
2017-04-23,22.88,11:30:00
2017-04-23,23.44,12:00:00
2017-04-23,23.45,12:30:00
2017-04-23,23.78,13:00:00
2017-04-23,23.76,13:30:00
2017-04-23,23.86,14:00:00
2017-04-23,23.83,14:30:00
2017-04-23,23.70,15:00:00
2017-04-23,23.69,15:30:00
2017-04-23,23.35,16:00:00
2017-04-23,23.36,16:30:00
2017-04-23,22.84,17:00:00
2017-04-23,22.87,17:30:00
2017-04-23,20.47,20:00:00
2017-04-23,20.44,20:30:00
2017-04-23,19.54,21:00:00
2017-04-23,19.53,21:30:00
2017-04-23,18.70,22:00:00
2017-04-23,18.71,22:30:00
2017-04-23,18.02,23:00:00
2017-04-23,18.05,23:30:00
2017-04-24,17.43,00:00:00
2017-04-24,17.45,00:30:00
2017-04-24,17.12,01:00:00
2017-04-24,17.12,01:30:00
2017-04-24,16.98,02:00:00
2017-04-24,16.96,02:30:00
2017-04-24,17.05,03:00:00
2017-04-24,17.03,03:30:00
2017-04-24,17.36,04:00:00
2017-04-24,17.36,04:30:00
2017-04-24,17.91,05:00:00
2017-04-24,17.94,05:30:00
2017-04-24,18.66,06:00:00
2017-04-24,18.69,06:30:00
2017-04-24,19.52,07:00:00
2017-04-24,19.52,07:30:00
2017-04-24,20.39,08:00:00
2017-04-24,20.38,08:30:00
2017-04-24,21.23,09:00:00
2017-04-24,21.21,09:30:00
2017-04-24,22.01,10:00:00
2017-04-24,22.00,10:30:00
2017-04-24,22.71,11:00:00
2017-04-24,22.73,11:30:00
2017-04-24,23.30,12:00:00
2017-04-24,23.32,12:30:00
2017-04-24,23.68,13:00:00
2017-04-24,23.69,13:30:00
2017-04-24,23.80,14:00:00
2017-04-24,23.79,14:30:00
2017-04-24,23.65,15:00:00
2017-04-24,23.62,15:30:00
2017-04-24,23.26,16:00:00
2017-04-24,23.25,16:30:00
2017-04-24,22.71,17:00:00
2017-04-24,22.72,17:30:00
2017-04-24,22.04,18:00:00
2017-04-24,22.06,18:30:00
2017-04-24,21.26,19:00:00
2017-04-24,21.28,19:30:00
2017-04-24,20.40,20:00:00
2017-04-24,20.40,20:30:00
2017-04-24,19.50,21:00:00
2017-04-24,19.47,21:30:00
2017-04-24,18.63,22:00:00
2017-04-24,18.61,22:30:00
2017-04-24,17.90,23:00:00
2017-04-24,17.90,23:30:00
2017-04-25,17.29,00:00:00
2017-04-25,17.31,00:30:00
2017-04-25,16.99,01:00:00
2017-04-25,17.01,01:30:00
2017-04-25,16.91,02:00:00
2017-04-25,16.91,02:30:00
2017-04-25,17.01,03:00:00
2017-04-25,16.99,03:30:00
2017-04-25,17.31,04:00:00
2017-04-25,17.28,04:30:00
2017-04-25,17.81,05:00:00
2017-04-25,17.81,05:30:00
2017-04-25,18.52,06:00:00
2017-04-25,18.54,06:30:00
2017-04-25,19.38,07:00:00
2017-04-25,19.41,07:30:00
